Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,NO3,TDS
MW-1-92,MW-1,red,o,30,0.6,7.65,125,22,80,1.5,125,0,125,550,3.2,726
MW-1-93,MW-1,red,o,30,0.6,7.4,135,26,68,1.4,158.6,0,121,325,1.5,1132
MW-3-92,MW-3,blue,o,30,0.6,7.4,256,19,50,2,463,0,46,368,2.2,630
MW-3-93,MW-3,blue,o,30,0.6,7.53,268,20.4,35,2.5,502,0,42,346,2.4,690
OW-2-92,OW-2,yellow,o,30,0.6,7.35,115,5,225,1.1,140.3,0,286,198.3,1.6,1135
OW-2-93,OW-2,yellow,o,30,0.6,7.55,117.6,23.3,235,1.3,152.5,0,320,315,1.7,1060
OW-4-92,OW-4,green,o,30,0.6,7.55,333,17.6,6.5,2,141.5,0,8.9,792,2.1,1500
OW-4-93,OW-4,green,o,30,0.6,7.72,324,20.6,10,2,144,0,13,725,2.4,1200
